UNIQUE_ID,COUNTYFP,County,Precinct,CONG_DIST,GCON01DJAC,GCON01OWRI,GCON01RCAR,GCON02DKEL,GCON02RLYN,GCON03DRAM,GCON03RBUR,GCON04DGAR,GCON04OWRI,GCON04RFAL,GCON04WHER,GCON05DQUI,GCON05ICRU,GCON05RHAN,GCON06DCAS,GCON06OWRI,GCON06RPEK,GCON07DDAV,GCON07OWRI,GCON08DKRI,GCON08RDAR,GCON09DSCH,GCON09RRIC,GCON10DSCH,GCON10RSEV,GCON11DFOS,GCON11OWRI,GCON11RLAU,GCON12DMAR,GCON12OWRI,GCON12RBOS,GCON13DBUD,GCON13OWRI,GCON13RDEE,GCON14DUND,GCON14OWRI,GCON14RGRY,GCON15DLAN,GCON15RMIL,GCON16DHAD,GCON16RLAH,GCON17DSOR,GCON17OWRI,GCON17RKIN
COOK-:-8900039,31,COOK,8900039,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900040,31,COOK,8900040,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900041,31,COOK,8900041,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900043,31,COOK,8900043,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900044,31,COOK,8900044,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900045,31,COOK,8900045,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900047,31,COOK,8900047,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900048,31,COOK,8900048,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900049,31,COOK,8900049,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900050,31,COOK,8900050,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900051,31,COOK,8900051,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
